method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients,cluster_sizes,num_empty_clusters,cluster_split_events,split_probe_downloads,split_probe_uploads,eps_1,eps_2,clustering_interval,min_cluster_size,split_center_init,updated_clusters
cfl,fashionmnist,42,12,clustered,30,0.2,1,0.02,64,100,,940,940,0,1880,286.8057734966278,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.9307458679199219,0.9307458679199219,0.6692,0.6692,0.6393166334626874,0.5120294345769797,0.47,0.85,0.09947542410062901,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,700,700,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,13,clustered,30,0.2,1,0.02,64,100,,1060,1060,0,2120,315.5692057609558,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8683072282791138,0.8683072282791138,0.6872999999999999,0.6873,0.6454376893914188,0.4887270678919786,0.33,0.91,0.17717705833431147,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,800,800,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,14,clustered,30,0.2,1,0.02,64,100,,1180,1180,0,2360,347.8868319988251,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8641122033119203,0.8641122033119202,0.6839,0.6839,0.6590108568366075,0.527782320630483,0.51,0.88,0.08833906270727576,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,900,900,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,15,clustered,30,0.2,1,0.02,64,100,,1300,1300,0,2600,368.08572030067444,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8837139171600343,0.8837139171600342,0.6498,0.6498,0.5965299711525278,0.47286661440576905,0.35,0.93,0.17387340222127134,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1000,1000,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,16,clustered,30,0.2,1,0.02,64,100,,1420,1420,0,2840,375.4080333709717,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8801956590652467,0.8801956590652465,0.6713000000000001,0.6713,0.6397603561541443,0.5132492601437935,0.43,0.88,0.12382774325650937,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1100,1100,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,17,clustered,30,0.2,1,0.02,64,100,,1540,1540,0,3080,382.3332393169403,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.7867398743629457,0.7867398743629456,0.7018000000000001,0.7018,0.6772552608857257,0.5371425641911142,0.45,0.91,0.1266915940384365,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1200,1200,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,18,clustered,30,0.2,1,0.02,64,100,,1660,1660,0,3320,389.439110994339,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8035598909378052,0.8035598909378052,0.7098000000000002,0.7098,0.6328809723077299,0.5044909489450489,0.28,0.94,0.2129224271888708,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1300,1300,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,19,clustered,30,0.2,1,0.02,64,100,,1780,1780,0,3560,396.3289530277252,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.75325723695755,0.7532572369575501,0.7168999999999999,0.7169,0.6840467563358634,0.544543371349235,0.43,0.92,0.1402903774319536,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1400,1400,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,20,clustered,30,0.2,1,0.02,64,100,,1900,1900,0,3800,403.134197473526,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.7350018513679504,0.7350018513679505,0.7255999999999999,0.7256,0.6675068836667526,0.5256508316928524,0.34,0.92,0.18532306926014366,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1500,1500,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,21,clustered,30,0.2,1,0.02,64,100,,2020,2020,0,4040,409.9199502468109,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8283393986701966,0.8283393986701966,0.6903,0.6903,0.6528999932276097,0.5374669751070505,0.39,0.89,0.13870439791152983,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1600,1600,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,22,clustered,30,0.2,1,0.02,64,100,,2140,2140,0,4280,416.7032036781311,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8075969734191893,0.8075969734191895,0.7073,0.7073,0.6308493756637008,0.5026885922223324,0.23,0.93,0.24051966655556467,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1700,1700,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,23,clustered,30,0.2,1,0.02,64,100,,2260,2260,0,4520,423.50393772125244,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.715129100036621,0.7151291000366211,0.7169000000000001,0.7169,0.6848561321242562,0.5555692082948716,0.52,0.91,0.1223249361332349,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1800,1800,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,24,clustered,30,0.2,1,0.02,64,100,,2380,2380,0,4760,430.4108159542084,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.6824279407501221,0.682427940750122,0.7434999999999998,0.7435,0.7287000386464766,0.5847011253249804,0.51,0.91,0.11113392821276498,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,1900,1900,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,25,clustered,30,0.2,1,0.02,64,100,,2500,2500,0,5000,437.3907251358032,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.6857906744956972,0.685790674495697,0.7519999999999999,0.752,0.7051100259643348,0.5524451249067481,0.36,0.94,0.18009997223764362,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,2000,2000,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,26,clustered,30,0.2,1,0.02,64,100,,2620,2620,0,5240,444.1238305568695,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.7193743474960328,0.7193743474960327,0.7069999999999999,0.707,0.6795106737677431,0.5604579772280557,0.42,0.91,0.13269890730522238,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,2100,2100,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,27,clustered,30,0.2,1,0.02,64,100,,2740,2740,0,5480,451.08214712142944,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.706702509689331,0.706702509689331,0.7323999999999999,0.7324,0.6721114351252765,0.5341351232154369,0.29,0.96,0.21616253144335626,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,2200,2200,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,28,clustered,30,0.2,1,0.02,64,100,,2860,2860,0,5720,458.08673667907715,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.8469004275321962,0.8469004275321961,0.6895,0.6895,0.6557112931751515,0.5506005919691739,0.39,0.91,0.13285612518811465,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,2300,2300,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,29,clustered,30,0.2,1,0.02,64,100,,2980,2980,0,5960,466.04088377952576,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.7232877623558045,0.7232877623558045,0.7158999999999998,0.7159,0.6511817052446915,0.5158586045306293,0.27,0.94,0.21877886095324658,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,2400,2400,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,30,clustered,30,0.2,1,0.02,64,100,,3100,3100,0,6200,472.72698616981506,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,0.6687730206489565,0.6687730206489563,0.7376,0.7376,0.7176268959997871,0.5841636989176888,0.51,0.92,0.11722730057456753,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,2500,2500,0.4,1.6,1,4,parent,[0]
