method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients
fedavg,cifar10,42,110,train,200,0.2,2,0.005,32,100,1,2200,2200,0,4400,359.4694049358368,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.2295474048167467,1.2295474048167467,0.5637,0.5637,0.396809605590594,0.16115093917251386,0.12,0.83,0.19263257772246106,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,120,train,200,0.2,2,0.005,32,100,1,2400,2400,0,4800,393.04446601867676,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.2739856153368951,1.273985615336895,0.5484,0.5484,0.4322650287350271,0.16607390610944583,0.21,0.84,0.14667460584572917,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,130,train,200,0.2,2,0.005,32,100,1,2600,2600,0,5200,428.2382502555847,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.0846348616644739,1.084634861664474,0.6140000000000001,0.614,0.4721679180275292,0.18159136734781875,0.22,0.88,0.1767766952966369,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,140,train,200,0.2,2,0.005,32,100,1,2800,2800,0,5600,460.55307126045227,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.1072490131646395,1.1072490131646395,0.6027000000000001,0.6027,0.4703602053450557,0.17476590892881172,0.32,0.84,0.15765059467061962,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,150,train,200,0.2,2,0.005,32,100,1,3000,3000,0,6000,492.55206084251404,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.158487834814191,1.158487834814191,0.5969,0.5969,0.4526314096588246,0.17274675388764815,0.19,0.88,0.19581978960258334,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,160,train,200,0.2,2,0.005,32,100,1,3200,3200,0,6400,523.5941002368927,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.2100816828757524,1.2100816828757524,0.5784999999999999,0.5785,0.43336111841196095,0.1578520965984466,0.1,0.86,0.22463470346320044,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,170,train,200,0.2,2,0.005,32,100,1,3400,3400,0,6800,553.4662353992462,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.076824535370618,1.076824535370618,0.6223000000000001,0.6223,0.4663725778629038,0.17467280847786884,0.23,0.96,0.20681322491562285,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,180,train,200,0.2,2,0.005,32,100,1,3600,3600,0,7200,583.2851927280426,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.4814550679034668,1.481455067903467,0.5591999999999999,0.5592,0.42639093549130624,0.15215624992889246,0.06,0.98,0.26856165027792034,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,190,train,200,0.2,2,0.005,32,100,1,3800,3800,0,7600,613.3126828670502,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.9557093965396287,0.9557093965396285,0.6722999999999999,0.6723,0.5386034335218262,0.1972494687634928,0.39,0.94,0.1475659513573507,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,200,train,200,0.2,2,0.005,32,100,1,4000,4000,0,8000,643.674890756607,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.1037427242405713,1.1037427242405713,0.6067999999999999,0.6068,0.5154727519951889,0.1864772748152645,0.34,0.86,0.1365494782121118,10000.0,0.0,0.0,0.1,1.0,20
