method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,acc,client_avg_acc,micro_acc,precision,recall,f1,tn,fp,fn,tp,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients
fedavg,unsw_nb15,42,25,train,50,0.5,2,0.01,64,20,1,250,250,0,500,16.850340127944946,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1843445739120245,0.1843445739120245,0.9473,0.9472999999999999,0.9473,0.9432906488754977,1.0,0.970817874743895,707.0,527.0,0.0,8766.0,0.8496541717871974,0.6635138862057504,0.784,1.0,0.06038302741665078,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,26,train,50,0.5,2,0.01,64,20,1,260,260,0,520,17.72493267059326,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17781165809333324,0.17781165809333324,0.9474,0.9474,0.9474,0.9434876210979548,0.9998859228838695,0.9708684093929996,709.0,525.0,1.0,8765.0,0.8501461388528784,0.6639962160717169,0.784,1.0,0.06014349507635883,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,27,train,50,0.5,2,0.01,64,20,1,270,270,0,540,18.49731159210205,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18133983626067643,0.18133983626067637,0.9474,0.9474,0.9474,0.9434876210979548,0.9998859228838695,0.9708684093929996,709.0,525.0,1.0,8765.0,0.8501461388528784,0.6639962160717169,0.784,1.0,0.06014349507635883,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,28,train,50,0.5,2,0.01,64,20,1,280,280,0,560,19.21218752861023,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17174227457642552,0.17174227457642555,0.9478,0.9478000000000002,0.9478,0.9438940340297222,0.9998859228838695,0.9710835364502548,713.0,521.0,1.0,8765.0,0.8515581953298502,0.664797523810001,0.786,1.0,0.05965199074632798,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,29,train,50,0.5,2,0.01,64,20,1,290,290,0,580,19.943836450576782,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.21085238341391088,0.21085238341391085,0.9462,0.9461999999999999,0.9462,0.9421754084264833,1.0,0.9702268954067516,696.0,538.0,0.0,8766.0,0.8457352093614069,0.6610498924230365,0.782,1.0,0.06123365087923468,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,30,train,50,0.5,2,0.01,64,20,1,300,300,0,600,20.70443105697632,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18147105946540837,0.1814710594654083,0.9475,0.9475000000000001,0.9475,0.9435891915168478,0.9998859228838695,0.9709221822209915,710.0,524.0,1.0,8765.0,0.8504996515218068,0.6642599964966518,0.784,1.0,0.06009950082987378,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,31,train,50,0.5,2,0.01,64,20,1,310,310,0,620,21.394205331802368,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.16676404807269574,0.16676404807269574,0.9478,0.9478,0.9478,0.9441810344827586,0.999543691535478,0.9710739221988253,716.0,518.0,4.0,8762.0,0.8519648014269459,0.6651240681117538,0.786,1.0,0.05948075318958225,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,32,train,50,0.5,2,0.01,64,20,1,320,320,0,640,22.129053592681885,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18626215002536775,0.18626215002536772,0.9474,0.9474,0.9474,0.9434876210979548,0.9998859228838695,0.9708684093929996,709.0,525.0,1.0,8765.0,0.8501461388528784,0.6639962160717169,0.784,1.0,0.06014349507635883,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,33,train,50,0.5,2,0.01,64,20,1,330,330,0,660,22.85762882232666,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.16479498023688793,0.16479498023688793,0.9478,0.9478,0.9478,0.9441810344827586,0.999543691535478,0.9710739221988253,716.0,518.0,4.0,8762.0,0.8519648014269459,0.6649709910232886,0.788,1.0,0.059224657027288886,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,34,train,50,0.5,2,0.01,64,20,1,340,340,0,680,23.543033361434937,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.16544104169905183,0.16544104169905186,0.9479,0.9479,0.9479,0.9442827890936524,0.999543691535478,0.971127736215018,717.0,517.0,4.0,8762.0,0.8523157862660768,0.6651929862130714,0.788,1.0,0.059175924158394,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,35,train,50,0.5,2,0.01,64,20,1,350,350,0,700,24.224336624145508,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17156408678293228,0.17156408678293228,0.948,0.9480000000000001,0.948,0.9441930618401206,0.999771845767739,0.9711879432624113,716.0,518.0,2.0,8764.0,0.8523972503197302,0.6651315668289207,0.788,1.0,0.05924862867611367,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,36,train,50,0.5,2,0.01,64,20,1,360,360,0,720,24.902305364608765,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1856965006887913,0.1856965006887913,0.9478,0.9478000000000002,0.9478,0.9438940340297222,0.9998859228838695,0.9710835364502548,713.0,521.0,1.0,8765.0,0.8515581953298502,0.664797523810001,0.786,1.0,0.05965199074632798,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,37,train,50,0.5,2,0.01,64,20,1,370,370,0,740,25.602779626846313,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1619250323653221,0.1619250323653221,0.948,0.9479999999999998,0.948,0.9444803794739112,0.9994296144193475,0.9711783616007095,719.0,515.0,5.0,8761.0,0.8528006210455028,0.6655814932213293,0.788,1.0,0.0592047295408061,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,38,train,50,0.5,2,0.01,64,20,1,380,380,0,760,26.339046955108643,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17545418262779713,0.17545418262779713,0.9479,0.9479000000000001,0.9479,0.9441870488093955,0.9996577686516085,0.9711309358896215,716.0,518.0,3.0,8763.0,0.8521809313344677,0.6649960661986645,0.788,1.0,0.05930758804739912,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,39,train,50,0.5,2,0.01,64,20,1,390,390,0,780,27.078280687332153,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18125149126350876,0.18125149126350878,0.9479,0.9479000000000001,0.9479,0.9440913497791662,0.999771845767739,0.9711341348551167,715.0,519.0,2.0,8764.0,0.8520457962845547,0.6650168573963182,0.786,1.0,0.059519660617311974,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,40,train,50,0.5,2,0.01,64,20,1,400,400,0,800,27.826366186141968,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.20618426408022641,0.20618426408022641,0.9469,0.9469,0.9469,0.9428848015488868,1.0,0.9706028898854011,703.0,531.0,0.0,8766.0,0.8482338145864796,0.6626981814631248,0.784,1.0,0.0606249948453606,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,41,train,50,0.5,2,0.01,64,20,1,410,410,0,820,28.58932852745056,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1834086948782206,0.18340869487822056,0.9479,0.9479000000000001,0.9479,0.9439956919763058,0.9998859228838695,0.971137333111739,714.0,520.0,1.0,8765.0,0.8519103802552025,0.6649796459021862,0.786,1.0,0.05956332764377758,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,42,train,50,0.5,2,0.01,64,20,1,420,420,0,840,29.30626106262207,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17395474034249783,0.17395474034249783,0.948,0.9480000000000001,0.948,0.9441930618401206,0.999771845767739,0.9711879432624113,716.0,518.0,2.0,8764.0,0.8523972503197302,0.6651199432871046,0.788,1.0,0.05921824043316382,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,43,train,50,0.5,2,0.01,64,20,1,430,430,0,860,29.97226309776306,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1697738861054182,0.16977388610541821,0.9479,0.9479,0.9479,0.9442827890936524,0.999543691535478,0.971127736215018,717.0,517.0,4.0,8762.0,0.8523157862660768,0.6651929862130714,0.788,1.0,0.059175924158394,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,44,train,50,0.5,2,0.01,64,20,1,440,440,0,880,30.633718252182007,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.19142975212335586,0.19142975212335586,0.9479,0.9479000000000001,0.9479,0.943900075374179,1.0,0.9711405306597242,713.0,521.0,0.0,8766.0,0.8517746823817367,0.664822548835026,0.786,1.0,0.059737676553411403,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,45,train,50,0.5,2,0.01,64,20,1,450,450,0,900,31.29472303390503,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.15056972390413284,0.15056972390413284,0.9482,0.9481999999999999,0.9482,0.9448759439050701,0.9992014601870864,0.9712796628964294,723.0,511.0,7.0,8759.0,0.8537661043606384,0.6660039959654112,0.79,1.0,0.05880442160246114,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,46,train,50,0.5,2,0.01,64,20,1,460,460,0,920,32.01321315765381,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18274296146631236,0.18274296146631241,0.9481,0.9481000000000002,0.9481,0.9441990735753528,0.9998859228838695,0.9712449443182448,716.0,518.0,1.0,8765.0,0.8526137586788558,0.6652554439173608,0.788,1.0,0.059159022980438056,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,47,train,50,0.5,2,0.01,64,20,1,470,470,0,940,32.830689430236816,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17184452909827233,0.17184452909827233,0.9481,0.9481000000000002,0.9481,0.944294795819416,0.999771845767739,0.9712417576328476,717.0,517.0,2.0,8764.0,0.852748374976178,0.6653535620187034,0.788,1.0,0.05919957770119647,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,48,train,50,0.5,2,0.01,64,20,1,480,480,0,960,33.51023483276367,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.15474621317088605,0.15474621317088605,0.948,0.9479999999999998,0.948,0.944672131147541,0.9992014601870864,0.971171970284954,721.0,513.0,7.0,8759.0,0.8530681462026197,0.6656614657868043,0.79,1.0,0.05879115579744966,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,49,train,50,0.5,2,0.01,64,20,1,490,490,0,980,34.18452072143555,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.15859751997888089,0.15859751997888089,0.9481,0.9480999999999999,0.9481,0.9445822102425876,0.9994296144193475,0.9712321933373982,720.0,514.0,5.0,8761.0,0.8531505530239825,0.6656421016660214,0.79,1.0,0.058877754712624686,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,50,train,50,0.5,2,0.01,64,20,1,500,500,0,1000,34.94158148765564,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.176136700835824,0.176136700835824,0.9481,0.9481000000000002,0.9481,0.944294795819416,0.999771845767739,0.9712417576328476,717.0,517.0,2.0,8764.0,0.852748374976178,0.6653535620187034,0.788,1.0,0.05919957770119647,10000.0,0.0,0.0,0.5,1.0,10
